state_key,rl_recommended_action,expected_reward,visit_count,policy_reason
src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_low|age_mid|dist_long|transfer_cost_mid|promo_cost_low,multi_store_transfer,68.5288,200,상태 src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_low|age_mid|dist_long|transfer_cost_mid|promo_cost_low에서 과거 후보 데이터 기준 multi_store_transfer 행동의 기대 보상(Q=68.5288)이 가장 높음
src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_low|age_mid|dist_mid|transfer_cost_low|promo_cost_low,multi_store_transfer,74.2309,200,상태 src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_low|age_mid|dist_mid|transfer_cost_low|promo_cost_low에서 과거 후보 데이터 기준 multi_store_transfer 행동의 기대 보상(Q=74.2309)이 가장 높음
src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_low|age_mid|dist_mid|transfer_cost_mid|promo_cost_low,promotion,64.416,100,상태 src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_low|age_mid|dist_mid|transfer_cost_mid|promo_cost_low에서 과거 후보 데이터 기준 promotion 행동의 기대 보상(Q=64.416)이 가장 높음
src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_low|age_mid|dist_short|transfer_cost_high|promo_cost_low,multi_store_transfer,45.103,100,상태 src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_low|age_mid|dist_short|transfer_cost_high|promo_cost_low에서 과거 후보 데이터 기준 multi_store_transfer 행동의 기대 보상(Q=45.103)이 가장 높음
src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_low|age_mid|dist_short|transfer_cost_low|promo_cost_low,promotion,64.416,100,상태 src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_low|age_mid|dist_short|transfer_cost_low|promo_cost_low에서 과거 후보 데이터 기준 promotion 행동의 기대 보상(Q=64.416)이 가장 높음
src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_low|age_new|dist_mid|transfer_cost_low|promo_cost_low,promotion,64.416,200,상태 src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_low|age_new|dist_mid|transfer_cost_low|promo_cost_low에서 과거 후보 데이터 기준 promotion 행동의 기대 보상(Q=64.416)이 가장 높음
src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_low|age_new|dist_mid|transfer_cost_mid|promo_cost_low,multi_store_transfer,72.128,100,상태 src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_low|age_new|dist_mid|transfer_cost_mid|promo_cost_low에서 과거 후보 데이터 기준 multi_store_transfer 행동의 기대 보상(Q=72.128)이 가장 높음
src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_low|age_old|dist_long|transfer_cost_mid|promo_cost_low,multi_store_transfer,65.668,100,상태 src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_low|age_old|dist_long|transfer_cost_mid|promo_cost_low에서 과거 후보 데이터 기준 multi_store_transfer 행동의 기대 보상(Q=65.668)이 가장 높음
src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_low|age_old|dist_mid|transfer_cost_mid|promo_cost_low,promotion,64.416,100,상태 src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_low|age_old|dist_mid|transfer_cost_mid|promo_cost_low에서 과거 후보 데이터 기준 promotion 행동의 기대 보상(Q=64.416)이 가장 높음
src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_low|age_old|dist_short|transfer_cost_high|promo_cost_low,promotion,64.416,200,상태 src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_low|age_old|dist_short|transfer_cost_high|promo_cost_low에서 과거 후보 데이터 기준 promotion 행동의 기대 보상(Q=64.416)이 가장 높음
src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_mid|age_mid|dist_long|transfer_cost_mid|promo_cost_low,multi_store_transfer,67.785,100,상태 src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_mid|age_mid|dist_long|transfer_cost_mid|promo_cost_low에서 과거 후보 데이터 기준 multi_store_transfer 행동의 기대 보상(Q=67.785)이 가장 높음
src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_mid|age_mid|dist_mid|transfer_cost_low|promo_cost_low,multi_store_transfer,76.152,100,상태 src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_mid|age_mid|dist_mid|transfer_cost_low|promo_cost_low에서 과거 후보 데이터 기준 multi_store_transfer 행동의 기대 보상(Q=76.152)이 가장 높음
src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_mid|age_mid|dist_short|transfer_cost_high|promo_cost_low,promotion,64.416,200,상태 src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_mid|age_mid|dist_short|transfer_cost_high|promo_cost_low에서 과거 후보 데이터 기준 promotion 행동의 기대 보상(Q=64.416)이 가장 높음
src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_mid|age_mid|dist_short|transfer_cost_low|promo_cost_low,promotion,64.416,100,상태 src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_mid|age_mid|dist_short|transfer_cost_low|promo_cost_low에서 과거 후보 데이터 기준 promotion 행동의 기대 보상(Q=64.416)이 가장 높음
src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_mid|age_new|dist_mid|transfer_cost_low|promo_cost_low,promotion,64.416,200,상태 src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_mid|age_new|dist_mid|transfer_cost_low|promo_cost_low에서 과거 후보 데이터 기준 promotion 행동의 기대 보상(Q=64.416)이 가장 높음
src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_mid|age_new|dist_mid|transfer_cost_mid|promo_cost_low,multi_store_transfer,70.7613,400,상태 src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_mid|age_new|dist_mid|transfer_cost_mid|promo_cost_low에서 과거 후보 데이터 기준 multi_store_transfer 행동의 기대 보상(Q=70.7613)이 가장 높음
src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_mid|age_old|dist_long|transfer_cost_mid|promo_cost_low,multi_store_transfer,67.785,100,상태 src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_mid|age_old|dist_long|transfer_cost_mid|promo_cost_low에서 과거 후보 데이터 기준 multi_store_transfer 행동의 기대 보상(Q=67.785)이 가장 높음
src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_mid|age_old|dist_mid|transfer_cost_low|promo_cost_low,multi_store_transfer,76.788,100,상태 src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_mid|age_old|dist_mid|transfer_cost_low|promo_cost_low에서 과거 후보 데이터 기준 multi_store_transfer 행동의 기대 보상(Q=76.788)이 가장 높음
src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_mid|age_old|dist_short|transfer_cost_high|promo_cost_low,promotion,64.416,100,상태 src_stock_high|tgt_stock_high|src_sales_low|tgt_sales_mid|age_old|dist_short|transfer_cost_high|promo_cost_low에서 과거 후보 데이터 기준 promotion 행동의 기대 보상(Q=64.416)이 가장 높음
src_stock_high|tgt_stock_low|src_sales_low|tgt_sales_high|age_new|dist_mid|transfer_cost_low|promo_cost_mid,transfer,97.7739,300,상태 src_stock_high|tgt_stock_low|src_sales_low|tgt_sales_high|age_new|dist_mid|transfer_cost_low|promo_cost_mid에서 과거 후보 데이터 기준 transfer 행동의 기대 보상(Q=97.7739)이 가장 높음
src_stock_high|tgt_stock_low|src_sales_low|tgt_sales_low|age_mid|dist_long|transfer_cost_mid|promo_cost_low,promotion,64.416,100,상태 src_stock_high|tgt_stock_low|src_sales_low|tgt_sales_low|age_mid|dist_long|transfer_cost_mid|promo_cost_low에서 과거 후보 데이터 기준 promotion 행동의 기대 보상(Q=64.416)이 가장 높음
src_stock_high|tgt_stock_low|src_sales_low|tgt_sales_low|age_mid|dist_mid|transfer_cost_low|promo_cost_low,promotion,64.416,100,상태 src_stock_high|tgt_stock_low|src_sales_low|tgt_sales_low|age_mid|dist_mid|transfer_cost_low|promo_cost_low에서 과거 후보 데이터 기준 promotion 행동의 기대 보상(Q=64.416)이 가장 높음
src_stock_high|tgt_stock_low|src_sales_low|tgt_sales_low|age_mid|dist_mid|transfer_cost_mid|promo_cost_low,promotion,62.533,200,상태 src_stock_high|tgt_stock_low|src_sales_low|tgt_sales_low|age_mid|dist_mid|transfer_cost_mid|promo_cost_low에서 과거 후보 데이터 기준 promotion 행동의 기대 보상(Q=62.533)이 가장 높음
src_stock_high|tgt_stock_low|src_sales_low|tgt_sales_low|age_mid|dist_short|transfer_cost_low|promo_cost_low,promotion,64.416,100,상태 src_stock_high|tgt_stock_low|src_sales_low|tgt_sales_low|age_mid|dist_short|transfer_cost_low|promo_cost_low에서 과거 후보 데이터 기준 promotion 행동의 기대 보상(Q=64.416)이 가장 높음
src_stock_high|tgt_stock_low|src_sales_low|tgt_sales_low|age_new|dist_long|transfer_cost_mid|promo_cost_low,multi_store_transfer,67.785,100,상태 src_stock_high|tgt_stock_low|src_sales_low|tgt_sales_low|age_new|dist_long|transfer_cost_mid|promo_cost_low에서 과거 후보 데이터 기준 multi_store_transfer 행동의 기대 보상(Q=67.785)이 가장 높음
src_stock_high|tgt_stock_low|src_sales_low|tgt_sales_low|age_new|dist_mid|transfer_cost_low|promo_cost_low,multi_store_transfer,73.188,100,상태 src_stock_high|tgt_stock_low|src_sales_low|tgt_sales_low|age_new|dist_mid|transfer_cost_low|promo_cost_low에서 과거 후보 데이터 기준 multi_store_transfer 행동의 기대 보상(Q=73.188)이 가장 높음
src_stock_high|tgt_stock_low|src_sales_low|tgt_sales_low|age_new|dist_mid|transfer_cost_mid|promo_cost_low,multi_store_transfer,70.224,200,상태 src_stock_high|tgt_stock_low|src_sales_low|tgt_sales_low|age_new|dist_mid|transfer_cost_mid|promo_cost_low에서 과거 후보 데이터 기준 multi_store_transfer 행동의 기대 보상(Q=70.224)이 가장 높음
src_stock_high|tgt_stock_low|src_sales_low|tgt_sales_mid|age_mid|dist_long|transfer_cost_mid|promo_cost_low,promotion,64.416,100,상태 src_stock_high|tgt_stock_low|src_sales_low|tgt_sales_mid|age_mid|dist_long|transfer_cost_mid|promo_cost_low에서 과거 후보 데이터 기준 promotion 행동의 기대 보상(Q=64.416)이 가장 높음
src_stock_high|tgt_stock_low|src_sales_low|tgt_sales_mid|age_mid|dist_mid|transfer_cost_low|promo_cost_low,multi_store_transfer,74.985,100,상태 src_stock_high|tgt_stock_low|src_sales_low|tgt_sales_mid|age_mid|dist_mid|transfer_cost_low|promo_cost_low에서 과거 후보 데이터 기준 multi_store_transfer 행동의 기대 보상(Q=74.985)이 가장 높음
src_stock_high|tgt_stock_low|src_sales_low|tgt_sales_mid|age_mid|dist_mid|transfer_cost_mid|promo_cost_low,multi_store_transfer,71.596,100,상태 src_stock_high|tgt_stock_low|src_sales_low|tgt_sales_mid|age_mid|dist_mid|transfer_cost_mid|promo_cost_low에서 과거 후보 데이터 기준 multi_store_transfer 행동의 기대 보상(Q=71.596)이 가장 높음
src_stock_high|tgt_stock_low|src_sales_low|tgt_sales_mid|age_mid|dist_short|transfer_cost_high|promo_cost_low,promotion,64.3403,200,상태 src_stock_high|tgt_stock_low|src_sales_low|tgt_sales_mid|age_mid|dist_short|transfer_cost_high|promo_cost_low에서 과거 후보 데이터 기준 promotion 행동의 기대 보상(Q=64.3403)이 가장 높음
src_stock_high|tgt_stock_low|src_sales_low|tgt_sales_mid|age_mid|dist_short|transfer_cost_low|promo_cost_low,transfer,77.728,100,상태 src_stock_high|tgt_stock_low|src_sales_low|tgt_sales_mid|age_mid|dist_short|transfer_cost_low|promo_cost_low에서 과거 후보 데이터 기준 transfer 행동의 기대 보상(Q=77.728)이 가장 높음
src_stock_high|tgt_stock_low|src_sales_low|tgt_sales_mid|age_new|dist_long|transfer_cost_mid|promo_cost_mid,promotion,76.619,100,상태 src_stock_high|tgt_stock_low|src_sales_low|tgt_sales_mid|age_new|dist_long|transfer_cost_mid|promo_cost_mid에서 과거 후보 데이터 기준 promotion 행동의 기대 보상(Q=76.619)이 가장 높음
src_stock_high|tgt_stock_low|src_sales_low|tgt_sales_mid|age_new|dist_mid|transfer_cost_low|promo_cost_low,multi_store_transfer,74.456,100,상태 src_stock_high|tgt_stock_low|src_sales_low|tgt_sales_mid|age_new|dist_mid|transfer_cost_low|promo_cost_low에서 과거 후보 데이터 기준 multi_store_transfer 행동의 기대 보상(Q=74.456)이 가장 높음
src_stock_high|tgt_stock_low|src_sales_low|tgt_sales_mid|age_new|dist_mid|transfer_cost_mid|promo_cost_low,multi_store_transfer,71.33,300,상태 src_stock_high|tgt_stock_low|src_sales_low|tgt_sales_mid|age_new|dist_mid|transfer_cost_mid|promo_cost_low에서 과거 후보 데이터 기준 multi_store_transfer 행동의 기대 보상(Q=71.33)이 가장 높음
src_stock_high|tgt_stock_low|src_sales_low|tgt_sales_mid|age_old|dist_long|transfer_cost_mid|promo_cost_low,multi_store_transfer,65.984,100,상태 src_stock_high|tgt_stock_low|src_sales_low|tgt_sales_mid|age_old|dist_long|transfer_cost_mid|promo_cost_low에서 과거 후보 데이터 기준 multi_store_transfer 행동의 기대 보상(Q=65.984)이 가장 높음
src_stock_high|tgt_stock_low|src_sales_low|tgt_sales_mid|age_old|dist_mid|transfer_cost_low|promo_cost_low,multi_store_transfer,73.188,100,상태 src_stock_high|tgt_stock_low|src_sales_low|tgt_sales_mid|age_old|dist_mid|transfer_cost_low|promo_cost_low에서 과거 후보 데이터 기준 multi_store_transfer 행동의 기대 보상(Q=73.188)이 가장 높음
src_stock_high|tgt_stock_low|src_sales_low|tgt_sales_mid|age_old|dist_short|transfer_cost_low|promo_cost_low,transfer,70.728,100,상태 src_stock_high|tgt_stock_low|src_sales_low|tgt_sales_mid|age_old|dist_short|transfer_cost_low|promo_cost_low에서 과거 후보 데이터 기준 transfer 행동의 기대 보상(Q=70.728)이 가장 높음
src_stock_high|tgt_stock_mid|src_sales_low|tgt_sales_low|age_mid|dist_long|transfer_cost_mid|promo_cost_low,promotion,64.416,100,상태 src_stock_high|tgt_stock_mid|src_sales_low|tgt_sales_low|age_mid|dist_long|transfer_cost_mid|promo_cost_low에서 과거 후보 데이터 기준 promotion 행동의 기대 보상(Q=64.416)이 가장 높음
src_stock_high|tgt_stock_mid|src_sales_low|tgt_sales_low|age_mid|dist_mid|transfer_cost_low|promo_cost_low,multi_store_transfer,76.152,100,상태 src_stock_high|tgt_stock_mid|src_sales_low|tgt_sales_low|age_mid|dist_mid|transfer_cost_low|promo_cost_low에서 과거 후보 데이터 기준 multi_store_transfer 행동의 기대 보상(Q=76.152)이 가장 높음
src_stock_high|tgt_stock_mid|src_sales_low|tgt_sales_low|age_mid|dist_mid|transfer_cost_mid|promo_cost_low,promotion,64.416,100,상태 src_stock_high|tgt_stock_mid|src_sales_low|tgt_sales_low|age_mid|dist_mid|transfer_cost_mid|promo_cost_low에서 과거 후보 데이터 기준 promotion 행동의 기대 보상(Q=64.416)이 가장 높음
src_stock_high|tgt_stock_mid|src_sales_low|tgt_sales_low|age_mid|dist_short|transfer_cost_high|promo_cost_low,promotion,64.416,100,상태 src_stock_high|tgt_stock_mid|src_sales_low|tgt_sales_low|age_mid|dist_short|transfer_cost_high|promo_cost_low에서 과거 후보 데이터 기준 promotion 행동의 기대 보상(Q=64.416)이 가장 높음
src_stock_high|tgt_stock_mid|src_sales_low|tgt_sales_low|age_mid|dist_short|transfer_cost_low|promo_cost_low,promotion,64.416,100,상태 src_stock_high|tgt_stock_mid|src_sales_low|tgt_sales_low|age_mid|dist_short|transfer_cost_low|promo_cost_low에서 과거 후보 데이터 기준 promotion 행동의 기대 보상(Q=64.416)이 가장 높음
src_stock_high|tgt_stock_mid|src_sales_low|tgt_sales_low|age_mid|dist_short|transfer_cost_mid|promo_cost_low,promotion,64.416,100,상태 src_stock_high|tgt_stock_mid|src_sales_low|tgt_sales_low|age_mid|dist_short|transfer_cost_mid|promo_cost_low에서 과거 후보 데이터 기준 promotion 행동의 기대 보상(Q=64.416)이 가장 높음
src_stock_high|tgt_stock_mid|src_sales_low|tgt_sales_low|age_new|dist_mid|transfer_cost_low|promo_cost_low,multi_store_transfer,76.788,100,상태 src_stock_high|tgt_stock_mid|src_sales_low|tgt_sales_low|age_new|dist_mid|transfer_cost_low|promo_cost_low에서 과거 후보 데이터 기준 multi_store_transfer 행동의 기대 보상(Q=76.788)이 가장 높음
src_stock_high|tgt_stock_mid|src_sales_low|tgt_sales_low|age_old|dist_long|transfer_cost_mid|promo_cost_low,multi_store_transfer,67.785,100,상태 src_stock_high|tgt_stock_mid|src_sales_low|tgt_sales_low|age_old|dist_long|transfer_cost_mid|promo_cost_low에서 과거 후보 데이터 기준 multi_store_transfer 행동의 기대 보상(Q=67.785)이 가장 높음
src_stock_high|tgt_stock_mid|src_sales_low|tgt_sales_low|age_old|dist_mid|transfer_cost_low|promo_cost_low,multi_store_transfer,74.456,100,상태 src_stock_high|tgt_stock_mid|src_sales_low|tgt_sales_low|age_old|dist_mid|transfer_cost_low|promo_cost_low에서 과거 후보 데이터 기준 multi_store_transfer 행동의 기대 보상(Q=74.456)이 가장 높음
src_stock_high|tgt_stock_mid|src_sales_low|tgt_sales_low|age_old|dist_mid|transfer_cost_mid|promo_cost_low,promotion,64.416,100,상태 src_stock_high|tgt_stock_mid|src_sales_low|tgt_sales_low|age_old|dist_mid|transfer_cost_mid|promo_cost_low에서 과거 후보 데이터 기준 promotion 행동의 기대 보상(Q=64.416)이 가장 높음
src_stock_high|tgt_stock_mid|src_sales_low|tgt_sales_mid|age_mid|dist_long|transfer_cost_mid|promo_cost_low,multi_store_transfer,65.668,100,상태 src_stock_high|tgt_stock_mid|src_sales_low|tgt_sales_mid|age_mid|dist_long|transfer_cost_mid|promo_cost_low에서 과거 후보 데이터 기준 multi_store_transfer 행동의 기대 보상(Q=65.668)이 가장 높음
src_stock_high|tgt_stock_mid|src_sales_low|tgt_sales_mid|age_mid|dist_mid|transfer_cost_low|promo_cost_low,multi_store_transfer,74.0837,500,상태 src_stock_high|tgt_stock_mid|src_sales_low|tgt_sales_mid|age_mid|dist_mid|transfer_cost_low|promo_cost_low에서 과거 후보 데이터 기준 multi_store_transfer 행동의 기대 보상(Q=74.0837)이 가장 높음
src_stock_high|tgt_stock_mid|src_sales_low|tgt_sales_mid|age_mid|dist_mid|transfer_cost_mid|promo_cost_low,promotion,64.416,100,상태 src_stock_high|tgt_stock_mid|src_sales_low|tgt_sales_mid|age_mid|dist_mid|transfer_cost_mid|promo_cost_low에서 과거 후보 데이터 기준 promotion 행동의 기대 보상(Q=64.416)이 가장 높음
src_stock_high|tgt_stock_mid|src_sales_low|tgt_sales_mid|age_mid|dist_short|transfer_cost_high|promo_cost_low,promotion,64.416,100,상태 src_stock_high|tgt_stock_mid|src_sales_low|tgt_sales_mid|age_mid|dist_short|transfer_cost_high|promo_cost_low에서 과거 후보 데이터 기준 promotion 행동의 기대 보상(Q=64.416)이 가장 높음
src_stock_high|tgt_stock_mid|src_sales_low|tgt_sales_mid|age_mid|dist_short|transfer_cost_low|promo_cost_low,transfer,64.428,100,상태 src_stock_high|tgt_stock_mid|src_sales_low|tgt_sales_mid|age_mid|dist_short|transfer_cost_low|promo_cost_low에서 과거 후보 데이터 기준 transfer 행동의 기대 보상(Q=64.428)이 가장 높음
src_stock_high|tgt_stock_mid|src_sales_low|tgt_sales_mid|age_new|dist_mid|transfer_cost_low|promo_cost_low,promotion,62.9432,200,상태 src_stock_high|tgt_stock_mid|src_sales_low|tgt_sales_mid|age_new|dist_mid|transfer_cost_low|promo_cost_low에서 과거 후보 데이터 기준 promotion 행동의 기대 보상(Q=62.9432)이 가장 높음
src_stock_high|tgt_stock_mid|src_sales_low|tgt_sales_mid|age_new|dist_mid|transfer_cost_mid|promo_cost_low,multi_store_transfer,71.5266,300,상태 src_stock_high|tgt_stock_mid|src_sales_low|tgt_sales_mid|age_new|dist_mid|transfer_cost_mid|promo_cost_low에서 과거 후보 데이터 기준 multi_store_transfer 행동의 기대 보상(Q=71.5266)이 가장 높음
src_stock_high|tgt_stock_mid|src_sales_low|tgt_sales_mid|age_new|dist_short|transfer_cost_low|promo_cost_low,promotion,64.416,100,상태 src_stock_high|tgt_stock_mid|src_sales_low|tgt_sales_mid|age_new|dist_short|transfer_cost_low|promo_cost_low에서 과거 후보 데이터 기준 promotion 행동의 기대 보상(Q=64.416)이 가장 높음
src_stock_high|tgt_stock_mid|src_sales_low|tgt_sales_mid|age_old|dist_long|transfer_cost_mid|promo_cost_low,multi_store_transfer,69.2176,200,상태 src_stock_high|tgt_stock_mid|src_sales_low|tgt_sales_mid|age_old|dist_long|transfer_cost_mid|promo_cost_low에서 과거 후보 데이터 기준 multi_store_transfer 행동의 기대 보상(Q=69.2176)이 가장 높음
src_stock_high|tgt_stock_mid|src_sales_low|tgt_sales_mid|age_old|dist_mid|transfer_cost_low|promo_cost_low,multi_store_transfer,75.829,200,상태 src_stock_high|tgt_stock_mid|src_sales_low|tgt_sales_mid|age_old|dist_mid|transfer_cost_low|promo_cost_low에서 과거 후보 데이터 기준 multi_store_transfer 행동의 기대 보상(Q=75.829)이 가장 높음
src_stock_high|tgt_stock_mid|src_sales_low|tgt_sales_mid|age_old|dist_short|transfer_cost_mid|promo_cost_low,promotion,64.416,100,상태 src_stock_high|tgt_stock_mid|src_sales_low|tgt_sales_mid|age_old|dist_short|transfer_cost_mid|promo_cost_low에서 과거 후보 데이터 기준 promotion 행동의 기대 보상(Q=64.416)이 가장 높음
src_stock_low|tgt_stock_high|src_sales_low|tgt_sales_low|age_old|dist_long|transfer_cost_mid|promo_cost_low,promotion,64.416,100,상태 src_stock_low|tgt_stock_high|src_sales_low|tgt_sales_low|age_old|dist_long|transfer_cost_mid|promo_cost_low에서 과거 후보 데이터 기준 promotion 행동의 기대 보상(Q=64.416)이 가장 높음
src_stock_low|tgt_stock_high|src_sales_low|tgt_sales_mid|age_old|dist_long|transfer_cost_mid|promo_cost_low,multi_store_transfer,69.056,100,상태 src_stock_low|tgt_stock_high|src_sales_low|tgt_sales_mid|age_old|dist_long|transfer_cost_mid|promo_cost_low에서 과거 후보 데이터 기준 multi_store_transfer 행동의 기대 보상(Q=69.056)이 가장 높음
src_stock_low|tgt_stock_high|src_sales_low|tgt_sales_mid|age_old|dist_mid|transfer_cost_mid|promo_cost_low,multi_store_transfer,71.596,100,상태 src_stock_low|tgt_stock_high|src_sales_low|tgt_sales_mid|age_old|dist_mid|transfer_cost_mid|promo_cost_low에서 과거 후보 데이터 기준 multi_store_transfer 행동의 기대 보상(Q=71.596)이 가장 높음
